year,Built,Air,Land,Water,Sociodemographic,Environmental Quality,OBJECTID,FIPS,COUNTY,COUNTY_NAM,_match,Water
2010,-1.391,0.253,-0.717,0.39,0.186,-0.731,3106,55113,Sawyer,Sawyer,35.27707352,0.39
2010,0.244,-0.387,0.32,0.438,0.118,0.06,3107,55115,Shawano,Shawano,12.09706628,0.438
2010,0.247,0.221,0.688,0.604,-0.795,0.652,3108,55117,Sheboygan,Sheboygan,34.11807316,0.604
2010,0.713,-0.261,0.613,-1.375,-1.741,0.358,3104,55109,St. Croix,Saint Croix,16.66063021,-1.375
2010,0.399,0.971,0.456,0.746,0.232,0.992,3109,55119,Taylor,Taylor,61.28214415,0.746
2010,-0.065,-0.28,0.764,0.424,-0.227,0.114,3110,55121,Trempealeau,Trempealeau,15.97247374,0.424
2010,0.107,-0.044,0.666,0.162,-0.111,0.249,3111,55123,Vernon,Vernon,24.52010141,0.162
2010,-1.618,-0.122,-1.321,-0.111,-0.374,-1.243,3112,55125,Vilas,Vilas,21.69503803,-0.111
2010,0.395,-0.524,0.806,0.74,-0.82,0.366,3113,55127,Walworth,Walworth,7.13509598,0.74
2010,-0.85,0.727,0.086,0.698,0.075,0.105,3114,55129,Washburn,Washburn,52.44476639,0.698
2010,1.145,-0.437,0.871,0.792,-1.453,0.924,3115,55131,Washington,Washington,10.28612821,0.792
2010,0.83,1.256,0.559,0.734,-2.407,1.753,3116,55133,Waukesha,Waukesha,71.60449113,0.734
2010,-0.103,1.435,0.781,0.773,-0.175,1.132,3117,55135,Waupaca,Waupaca,78.0876494,0.773
2010,-0.001,0.449,1.108,0.689,0.371,0.623,3118,55137,Waushara,Waushara,42.37595074,0.689
2010,0.321,-0.021,0.545,0.59,-1.123,0.557,3119,55139,Winnebago,Winnebago,25.35313292,0.59
2010,-0.239,1.246,0.554,0.679,-0.52,0.921,3120,55141,Wood,Wood,71.24230351,0.679
